,,NO MOVE,NORTH,EAST,SOUTH,WEST
1,1,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0
1,5,-0.6000000000000001,0.0,-0.5,-0.4,0.0
1,6,-0.9700000000000001,0.0,-1.1600000000000001,-0.5,-0.6000000000000001
1,7,-0.8,0.0,-0.782,-0.8,-1.25
1,8,-0.8820000000000001,0.0,0.2,-0.9,-0.9
1,9,1.6280410471333218,0.0,0.0,0.0,0.0
1,10,0.17644404296500935,0.0,0.0,0.0,0.0
1,11,-0.8,0.0,-0.8,-0.8,0.2
1,12,-1.4300000000000002,0.0,-1.4300000000000002,-0.7000000000000001,-0.7000000000000001
1,13,-1.1400000000000001,0.0,0.0,-1.726,-0.6000000000000001
2,1,0.0,0.0,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.0,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0
2,5,0.0,-0.4,0.0,0.0,0.0
2,6,-0.30000000000000004,-0.30000000000000004,-0.5,0.0,0.0
2,7,-0.5,-0.6000000000000001,-0.7000000000000001,0.0,0.0
2,8,-0.8,-0.782,-0.8,0.0,0.0
2,9,-0.9,0.14949871874502496,-0.9,-0.9,0.0
2,10,0.0,0.0,-0.8,0.0,0.0
2,11,-0.7000000000000001,-0.7000000000000001,-0.7000000000000001,-0.8,0.0
2,12,-0.6000000000000001,-1.4300000000000002,-1.826,-0.7000000000000001,-0.7000000000000001
2,13,-1.455,-0.95,0.0,0.0,-2.0805000000000002
3,1,0.0,0.0,0.0,0.0,0.0
3,2,0.0,0.0,0.0,0.0,0.0
3,3,0.0,0.0,0.0,0.0,0.0
3,4,0.0,0.0,0.0,0.0,0.0
3,5,0.0,0.0,-0.4,0.0,0.0
3,6,-0.5,-0.5,0.0,-0.4,0.0
3,7,0.0,0.0,0.0,0.0,0.0
3,8,0.0,0.0,0.0,0.0,0.0
3,9,0.0,-0.8,0.0,0.0,0.0
3,10,0.0,0.0,0.0,0.0,0.0
3,11,0.0,0.0,0.0,-0.7000000000000001,0.0
3,12,0.0,-0.7000000000000001,0.0,0.0,0.0
3,13,0.0,0.0,0.0,0.0,0.0
4,1,0.0,0.0,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0
4,3,0.0,0.0,0.0,0.0,0.0
4,4,0.0,0.0,0.0,0.0,0.0
4,5,-0.6000000000000001,-0.5,0.0,0.0,0.0
4,6,0.0,-0.6000000000000001,0.0,0.0,-0.4
4,7,0.0,0.0,0.0,0.0,-0.4
4,8,0.0,0.0,0.0,0.0,0.0
4,9,0.0,0.0,0.0,0.0,0.0
4,10,0.0,0.0,0.0,0.0,0.0
4,11,0.0,0.0,-0.791,0.0,0.0
4,12,0.0,0.0,0.0,-0.6920000000000001,0.0
4,13,0.0,0.0,0.0,0.0,0.0
5,1,0.0,0.0,0.0,0.0,0.0
5,2,0.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,0.0
5,4,0.0,0.0,0.0,0.0,0.0
5,5,0.0,0.0,0.0,0.0,0.0
5,6,0.0,0.0,0.0,0.0,0.0
5,7,0.0,0.0,0.0,0.0,0.0
5,8,0.0,0.0,0.0,0.0,0.0
5,9,0.0,0.0,0.0,0.0,0.0
5,10,0.0,0.0,0.0,0.0,0.0
5,11,0.0,0.0,-0.8,0.0,0.0
5,12,-0.9,0.0,-0.9,-0.6020000000000001,0.0
5,13,-0.8,0.0,0.0,-1.52,-0.8
6,1,0.0,0.0,0.0,0.0,0.0
6,2,0.0,0.0,0.0,0.0,0.0
6,3,0.0,0.0,0.0,0.0,0.0
6,4,0.0,0.0,0.0,0.0,0.0
6,5,0.0,0.0,0.0,0.0,0.0
6,6,0.0,0.0,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0,0.0
6,8,0.0,0.0,0.0,0.0,0.0
6,9,0.0,0.0,0.0,0.0,0.0
6,10,0.0,0.0,0.0,0.0,0.0
6,11,-0.8803800000000002,-0.9,0.21800000000000003,0.0,0.0
6,12,2.5604722961468123,0.0,0.0,0.0,-999.80038
6,13,-1.71,-1.71,0.0,-0.9,0.0
7,1,0.0,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0,0.0
7,3,0.0,0.0,0.0,0.0,0.0
7,4,0.0,0.0,0.0,0.0,0.0
7,5,0.0,0.0,0.0,0.0,0.0
7,6,0.0,0.0,0.0,0.0,0.0
7,7,0.0,0.0,0.0,0.0,0.0
7,8,0.0,0.0,0.0,0.0,0.0
7,9,0.0,0.0,0.0,0.0,0.0
7,10,0.0,0.0,0.0,0.0,0.0
7,11,0.0,0.0,0.0,0.0,0.0
7,12,0.0,0.0,0.0,0.0,0.0
7,13,-0.8,-0.8,0.0,-0.8,0.0
8,1,0.0,0.0,0.0,0.0,0.0
8,2,0.0,0.0,0.0,0.0,0.0
8,3,0.0,0.0,0.0,0.0,0.0
8,4,0.0,0.0,0.0,0.0,0.0
8,5,0.0,0.0,0.0,0.0,0.0
8,6,0.0,0.0,0.0,0.0,0.0
8,7,0.0,0.0,0.0,0.0,0.0
8,8,0.0,0.0,0.0,0.0,0.0
8,9,0.0,0.0,0.0,0.0,0.0
8,10,0.0,0.0,0.0,0.0,0.0
8,11,0.0,0.0,0.0,0.0,0.0
8,12,0.0,0.0,0.0,0.0,0.0
8,13,0.0,-0.7000000000000001,0.0,0.0,0.0
