,,NO MOVE,NORTH,EAST,SOUTH,WEST
1,1,0.0,0.0,2.927219402798689e-05,0.0,0.0
1,2,0.0,0.0,0.0008473048325020932,0.0,0.0
1,3,0.0426856100500863,0.0,0.10169544407089878,0.010304595205644236,0.0
1,4,0.07055586752455832,0.0,0.10166915833943005,0.0,0.10186399274170407
1,5,0.10288916858024502,0.0,0.10328153670839828,0.10165734552363183,0.10262538094357339
1,6,0.06437428374115156,0.0,0.0073911747621057495,0.0,0.10313933435649102
1,7,0.0,0.0,0.0,0.0,0.046239569574055644
1,8,0.0,0.0,0.0,0.0,0.0
1,9,0.0,0.0,0.0,0.0,0.0
1,10,0.0,0.0,0.0,0.0,0.0
1,11,0.0,0.0,0.0,0.0,0.0
1,12,0.0,0.0,0.0,0.0,0.0
1,13,0.0,0.0,0.0,0.0,0.0
2,1,0.0,0.0,0.0,0.019295105028850807,0.0
2,2,0.0,0.0,0.0,0.0,0.0
2,3,0.0,0.11476466712944346,0.0,0.0,0.0
2,4,0.0,0.0,0.0,0.0,0.0
2,5,0.101664547879362,0.1015978277006895,0.0,0.10070851198589012,0.0
2,6,0.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.00510532947869831,0.0
2,8,0.0,0.0,0.0,0.0,0.0
2,9,0.0,0.0,0.0,0.0,0.0
2,10,0.0,0.0,0.0,0.0,0.0
2,11,0.0,0.0,0.0,0.0,0.0
2,12,0.0,0.0,0.0,0.0,0.0
2,13,0.0,0.0,0.0,0.0,0.0
3,1,0.0,0.000913978659261354,0.13386427631634318,0.0,0.0
3,2,0.03025052807043789,0.0,0.09247613293979723,0.0,0.06774925232369407
3,3,0.0924704571204025,0.032594703222398914,0.09323682448878681,0.09300617068680105,0.09347482638964459
3,4,0.0980620972777255,0.0,0.09816426277921718,0.09790347270046366,0.09833557228564604
3,5,0.0999017251637683,0.10017347036033644,0.09966951175232562,0.09982455022290752,0.10034786208851314
3,6,0.10206692709760698,0.0,0.06299194061718344,0.10098887826310766,0.10280647473299667
3,7,0.04385566971829912,0.0,0.0036989693397229432,0.10056061816097195,0.027453006033252195
3,8,0.0,0.0,0.0,0.0,0.025415434091634114
3,9,0.0,0.0,0.0,0.0,0.0
3,10,0.0,0.0,0.0,0.0,0.0
3,11,0.0,0.0,0.0,0.0,0.0
3,12,0.0,0.0,0.0,0.0,0.0
3,13,0.0,0.0,0.0,0.0,0.0
4,1,0.0,0.09678981819993607,0.0,0.0,0.0
4,2,0.0,0.0,0.0,0.0,0.0
4,3,0.09276157625175871,0.09258554854297932,0.0929955086174208,0.09340899494928782,0.0
4,4,0.09674452335503494,0.0968183128446957,0.09624227449740844,0.0,0.09557874664752027
4,5,0.09818830490792674,0.09778991997004462,0.09748191353185813,0.0912108789892759,0.09796421223695358
4,6,0.01485835475768666,0.010363470465148593,0.01350158530951192,0.05211278539295964,0.09390994642473433
4,7,0.054382848236950485,0.05474673124954051,0.05464471716870412,0.14804838467860917,0.016604468560937186
4,8,0.009830323787455079,0.0005112848104052897,0.0001558500098962043,0.0,0.05486951727138207
4,9,0.0,0.0,0.0,0.003634164038367704,0.0
4,10,0.0,0.0,0.0,0.0,0.0
4,11,0.0,0.0,0.0,0.0,0.0
4,12,0.0,0.0,0.0,0.0,0.0
4,13,0.0,0.0,0.0,0.0,0.0
5,1,0.08171675543870231,0.039316925233214985,0.08180370926287969,0.0820256301854909,0.0
5,2,0.08597010182147195,0.0,0.08557164256124092,0.0,0.08546355786771576
5,3,0.08905067722459246,0.08894803318155611,0.0,0.08867815929861181,0.08945911935049528
5,4,0.0,0.0,0.0,0.0,0.0
5,5,0.04022937615479637,0.04169076616746894,0.07542456415478094,0.010612600173716522,0.0
5,6,0.07932603613577184,0.014857082502102983,0.07915724325208472,0.07895505600604669,0.07768255617783922
5,7,0.06341112941474675,0.06967071087982149,0.05761508610453772,0.0784831658719299,0.060250539877299815
5,8,0.0059229089441792185,0.0,0.0019936969882979622,0.006721322787319069,0.059950337160996375
5,9,0.0,0.0,0.0,0.0,0.02616704542656616
5,10,0.0,0.0,0.0,0.0,0.0
5,11,0.0,0.0,0.0,0.0,0.0
5,12,0.0,0.0,0.0,0.0,0.0
5,13,0.0,0.0,0.0,0.0,0.0
6,1,0.0781526632219269,0.07776606528057431,0.0,0.07756804632689815,0.0
6,2,0.0,0.0,0.0,0.0,0.0
6,3,0.08836470366455972,0.08760017166764564,0.08832863621353018,0.0,0.0
6,4,0.08817251281495538,0.0,0.0873908904832362,0.0879122345256205,0.08727359569800613
6,5,0.08431623528585451,0.08329323613845441,0.08409488714720353,0.0,0.08434986606101426
6,6,0.07979413282201464,0.08001131558368427,0.07965487785718371,0.08047042425899624,0.080089328283735
6,7,0.07707749314849324,0.07425677089523322,0.06029172770304972,0.0,0.07711371985884646
6,8,0.05987729107122923,0.0066117959373894865,0.04695027422496753,0.0,0.07425717962849482
6,9,0.01654395076422601,0.0,0.0,0.0,0.17340480208604547
6,10,0.0,0.0,0.0,0.0,0.2
